entity,isInUMLS,weight
differences,0,1580.4934
gastric cancer,1,1577.0286
logistic regression,1,1576.003
model,1,1572.1764
fat,1,1547.5572
rr,1,1542.0775
participants,1,1541.4854
findings,1,1540.3478
models,1,1539.4808
united states,1,1529.4825
normal weight,1,1528.6471
obese women,0,1513.3247
regression,1,1508.0063
quality of life,1,1503.3824
confidence,1,1500.8995
disorders,1,1494.2708
hormone,1,1491.3279
liver disease,1,1478.173
chronic diseases,1,1473.1698
proliferation,1,1472.549
lung cancer,1,1469.5539
postmenopausal breast cancer,0,1464.4015
odds ratio,1,1449.4742
heart,1,1446.4329
kg m2,0,1446.1158
pathways,1,1440.495
odds,0,1437.0728
cancer mortality,1,1435.8795
case-control study,1,1429.2472
intervention,1,1427.5842
gain,1,1412.8828
30 kg m,0,1412.55
months,1,1410.9018
adults,1,1404.656
lipid,1,1394.2922
men and women,0,1393.3888
plasma,1,1390.3779
lung,1,1385.1053
bariatric surgery,1,1381.2921
waist,1,1375.8745
chemotherapy,1,1368.1865
function,1,1361.6003
obesity and cancer,0,1351.1739
cancer screening,1,1348.6943
cohort study,1,1347.6916
blood pressure,1,1347.224
countries,1,1346.2694
system,1,1345.4318
g,1,1344.5672
body fat,1,1341.0208
adenocarcinoma,1,1338.9732
interval,1,1338.7304
psa,1,1329.3451
gene expression,1,1328.9094
risks,1,1327.7653
breast cancer survivors,0,1327.0807
activation,1,1322.8148
cancer prevention,1,1319.91
mellitus,0,1318.9579
recurrence,1,1306.5605
vitamin d,1,1303.9541
acid,1,1302.9394
bc,1,1297.6463
change,1,1293.4463
stress,1,1283.4911
exposure,1,1281.7381
quality,1,1280.4529
nutrition,1,1274.7145
states,1,1274.356
public health,1,1271.442
height,1,1270.0989
adiposity,1,1268.7268
family history,1,1266.3114
size,1,1257.3512
children,1,1256.9943
sex,1,1254.6006
addition,1,1246.8695
trend,1,1245.2709
information,1,1242.9008
circumference,1,1242.3626
postmenopausal breast,0,1235.5413
pathway,1,1233.1347
analyses,0,1227.5175
fatty acids,1,1227.4286
coronary heart disease,1,1226.0738
fatty liver,1,1224.9576
family,1,1224.4942
cell proliferation,1,1223.135
renal cell,1,1222.691
prognosis,1,1222.6181
childhood,1,1208.8836
cholesterol,1,1206.0683
reduction,1,1203.0647
growth factor,1,1202.8741
95 confidence intervals,0,1197.8108
kidney,1,1197.3485
response,1,1195.7137
liver cancer,1,1186.7628
prevalence of obesity,0,1183.9332
management,1,1183.0091
thyroid cancer,1,1182.9947
morbidity,1,1177.3111
body composition,1,1169.3487
fatty liver disease,0,1167.5754
patient,1,1166.22
association between obesity,0,1164.0369
higher risk,0,1163.7328
cancer cell,1,1163.2187
case-control,0,1160.8697
type 2 diabetes mellitus,1,1160.4355
adipocytes,1,1159.5427
measures,1,1156.728
characteristics,1,1148.9594
hepatocellular carcinoma,1,1141.5876
vitamin,1,1141.1284
oxidative stress,1,1140.4948
d,1,1138.628
hazard,1,1135.3932
cell carcinoma,0,1130.6777
lymph node,1,1129.0014
aim of this study,0,1128.7149
interventions,1,1127.3588
morbidity and mortality,0,1127.3087
regulation,1,1120.9772
endometrial cancer risk,0,1117.8101
mets,1,1116.2951
strategies,1,1113.9586
pca,1,1112.7963
receptors,1,1112.445
25 kg m,0,1112.4138
concentrations,1,1109.0497
alcohol consumption,1,1101.7587
types,1,1090.6224
relation,1,1089.68
range,1,1087.7335
vte,1,1087.1141
deaths,1,1084.828
ml,1,1084.6214
hospital,1,1081.2249
cardiovascular diseases,1,1080.4438
breast cancer cells,0,1079.2452
metformin,1,1078.2071
infection,1,1077.3371
muscle,1,1073.2838
hazard ratio,1,1071.4626
outcome,1,1070.1848
proteins,1,1067.2349
trials,0,1063.4687
year,1,1063.4664
period,1,1060.0045
ii,1,1056.6272
renal cell carcinoma,1,1055.7695
populations,1,1055.6023
years of age,0,1044.7633
carcinogenesis,1,1043.3904
ratios,1,1039.8741
risk of cancer,0,1039.4824
relative risk,1,1037.954
presence,1,1035.8705
total,1,1033.3269
grade,1,1025.8504
lymph,1,1023.4961
dna,1,1020.1087
present study,0,1018.1817
inhibitors,1,1017.827
united,0,1016.9908
abdominal obesity,1,1014.239
people,1,1013.7464
2 diabetes mellitus,0,1013.5357
ec,1,1011.9587
literature,1,1011.6917
drug,1,1011.6776
types of cancer,0,1011.4765
composition,1,1010.0106
ng ml,0,1008.0851
target,1,1006.8935
adenoma,1,1005.6697
rcc,1,998.9891
health care,1,998.2247
body size,1,997.0124
cancer development,0,996.8942
risk of endometrial cancer,0,996.1526
knowledge,1,996.0761
survey,1,994.4689
acids,1,991.8982
components,1,990.1291
coronary heart,0,987.7026
radical prostatectomy,1,983.248
approach,1,982.3846
i,1,981.2584
baseline,1,976.5221
drugs,1,975.2642
kinase,1,974.1167
insulin-like growth,0,970.688
interaction,1,970.0337
risk of colorectal cancer,0,969.1198
symptoms,1,968.7721
behaviors,1,967.8015
confidence intervals,1,965.6443
causes,1,963.5628
rats,1,963.2935
area,1,959.1479
testosterone,1,956.9722
m2,1,952.4361
trial,1,950.4409
score,1,945.7809
distribution,1,943.0004
rectal cancer,1,941.8874
pressure,1,941.4059
lifestyle factors,0,934.1675
cause,1,928.3198
cervical cancer,1,927.3463
c,1,925.9328
odds ratios,1,923.8112
influence,0,922.1622
impact of obesity,0,916.73
difference,1,916.7158
women with breast cancer,0,914.3066
cancer cases,0,913.7563
obesity and diabetes,0,913.1435
physical inactivity,0,912.8151
national,1,912.2611
mechanism,1,911.1337
cox proportional,0,908.1818
males,1,906.6163
adjustment,1,904.9471
obese men,0,904.2781
incident,1,901.5062
trends,1,900.8081
aim,1,900.75
cox proportional hazards,0,900.3288
variables,1,900.2031
correlation,1,899.2495
assessment,1,898.4949
resection,1,898.2692
tissues,1,898.1084
multivariate analysis,1,897.0083
comorbidities,1,896.6426
education,1,890.6435
childhood cancer,1,889.6217
all-cause mortality,0,887.0963
9 kg m,0,886.3231
patterns,1,885.4477
epidemiological studies,1,885.1368
hormones,1,884.8249
production,1,883.8276
females,1,882.8414
stroke,1,878.783
cox,1,877.7013
regression models,0,876.8655
clinical trials,1,873.837
inhibition,1,872.6687
increases,1,871.5015
bladder,1,870.8446
state,1,870.659
functions,1,864.8125
prospective cohort,0,864.0284
tumor growth,1,863.7767
burden,1,863.1832
cell lines,1,857.7821
markers,1,857.4584
incidence and mortality,0,856.5626
case,1,854.4036
s,1,854.4018
dysfunction,1,854.2157
foods,1,853.4479
cm,1,853.1308
race,1,851.3181
node,1,850.8858
chronic disease,1,850.3715
volume,1,847.915
detection,1,847.4352
energy balance,1,846.3288
bladder cancer,1,841.6163
weight change,1,840.1462
events,1,840.1146
benefits,1,840.0818
apoptosis,1,839.7023
understanding,1,839.0395
meta-analysis,1,837.7351
ampk,1,835.3835
proportional hazards,0,834.3656
high risk,1,834.0537
link,1,834.0091
program,1,832.0663
biopsy,1,830.3928
failure,1,828.7768
nafld,1,826.6811
methods,1,825.5351
mg,1,821.0119
sample,1,820.1845
general population,1,820.1267
sleep,1,817.874
cvd,1,817.6039
whr,0,817.5367
control group,1,816.342
part,1,815.8725
women with breast,0,815.776
systematic review,1,814.2938
energy intake,1,813.8877
compounds,0,813.6149
frequency,1,806.8642
agents,0,806.534
important role,0,805.231
homeostasis,1,804.6925
cohort studies,1,804.154
potential,1,802.6221
adipokines,1,802.4009
invasion,1,799.7426
world,1,798.7776
roles,1,798.6344
percent,1,796.2531
microbiota,1,796.238
endometrial carcinoma,1,793.6458
polymorphisms,1,792.9977
processes,0,791.2544
targets,0,790.2628
mouse,1,788.6225
days,1,787.9577
cancer diagnosis,1,786.8065
biomarkers,1,786.2128
regression analysis,1,785.4856
bone,1,783.5717
gut,1,781.8065
cancer progression,1,781.1306
recommendations,1,779.8734
prostate cancer risk,1,777.4013
cancer risk factors,0,777.3299
guidelines,1,776.7604
premenopausal women,0,775.6026
density,1,774.7209
obesity and breast cancer,0,769.4242
test,1,769.2493
dose,1,769.0008
products,1,767.5656
recent studies,0,766.3518
radiation,1,765.2786
significant differences,0,765.0894
os,1,763.5761
tobacco,1,762.9437
fat mass,0,762.0888
cardiovascular risk,0,760.5503
european prospective investigation into cancer,0,759.556
adiponectin levels,0,759.0981
diets,1,758.9533
kidney cancer,1,757.9951
colorectal adenoma,1,756.6009
interactions,1,755.5762
obese individuals,0,755.2529
type ii,1,754.872
cell growth,1,754.6343
years of follow-up,0,754.4736
day,1,754.4522
chronic inflammation,1,754.3889
postoperative complications,1,753.5628
methylation,1,752.7014
fat distribution,0,751.4124
vitro,1,750.2731
metastasis,1,747.976
hyperplasia,1,747.9076
incidence rates,0,747.4365
p for trend,0,745.8739
importance,0,745.4613
igf-i,1,743.7814
t,1,743.5674
tumour,1,742.9868
evaluation,1,742.8913
problems,1,742.8769
investigation,1,742.8548
prostatectomy,1,742.7497
lipid metabolism,1,740.2992
high-fat diet,1,740.2303
h,1,734.6249
differentiation,1,731.8939
risk of death,0,731.6844
colorectal cancer risk,0,730.5099
menopause,1,729.8989
hypothesis,1,729.3316
action,1,728.5046
hazard ratios,0,727.8441
relationship between obesity,0,727.4795
non-alcoholic fatty liver disease,1,725.1114
b,1,724.7291
smokers,1,723.0316
wc,1,722.2841
mtor,1,721.328
pathogenesis,1,720.9188
estrogen receptor,1,720.1917
mrna,1,719.9977
samples,0,719.9734
humans,1,719.2565
sensitivity,1,719.042
vegetables,1,717.6531
article,1,717.1617
meat,1,716.7942
pc,1,716.6233
association between bmi,0,716.5928
molecular mechanisms,0,716.2711
dm,1,716.0739
features,0,715.1026
morbid obesity,1,714.6403
excess body weight,0,714.1856
deficiency,1,713.8004
bmi 25 kg m,0,713.5674
metabolic disorders,1,712.8591
bmi 25 kg,0,712.8372
activities,1,710.2878
menopausal status,1,710.1966
weeks,1,708.0446
questionnaire,1,707.1065
transcription,1,706.4209
tract,1,706.0965
obese mice,1,705.6669
duration,1,705.5211
implications,0,705.3154
us,1,704.5519
properties,1,704.2801
epidemiology,1,703.1067
barrett's esophagus,1,702.9706
depression,1,702.807
cytokines,1,701.9589
combination,1,701.3972
inhibitor,1,700.7325
ob,1,700.3429
parameters,1,699.7167
surveillance,1,698.4354
balance,1,696.4277
central obesity,1,695.9944
examination,1,695.9349
ng,1,694.1819
esophageal adenocarcinoma,1,693.4564
gender,1,693.1802
risk of pancreatic cancer,0,692.6981
or,1,690.8961
prospective investigation into cancer,0,689.0901
prospective cohort study,1,688.8716
bmi 30 kg m,0,688.2329
predictors,0,687.6758
areas,1,685.8617
approaches,1,685.6373
patients with breast cancer,0,685.5059
method,1,685.1566
replacement therapy,1,685.0422
lymphedema,1,683.8582
mortality rates,1,682.931
skeletal muscle,1,682.4086
l,1,681.8563
aromatase,1,679.3939
systems,1,679.3698
women's health,1,679.3013
american,1,677.9772
insulin-like growth factor,1,677.9758
risk factors for breast cancer,0,677.8832
class,1,677.5274
type ii diabetes,1,677.4927
malignancies,1,676.9615
disease and cancer,0,676.7073
antigen,1,676.0367
values,1,676.0243
pcos,1,675.8957
criteria,1,675.7753
visceral obesity,1,673.4483
a,1,673.0918
higher bmi,0,672.4733
effect of obesity,0,671.4243
obesity and breast,0,671.1496
prospective investigation into cancer and nutrition,0,670.7556
database,1,670.743
high bmi,0,670.5702
bmi 30 kg,0,669.3991
fatty acid,1,669.0699
prostate specific antigen,1,667.3896
protein kinase,1,667.2343
pain,1,666.7214
reconstruction,1,664.8417
esophageal cancer,1,664.6443
leptin levels,0,663.5274
european prospective investigation,0,663.5036
akt,1,663.0742
adult,1,662.9569
need,1,661.9438
purpose of this study,0,661.3723
alterations,0,661.1644
diabetes and obesity,0,660.0342
accumulation,0,659.9525
malignancy,1,659.2313
cr,1,659.1223
factors for breast cancer,0,657.0396
independent risk,0,656.9236
process,1,655.939
leptin receptor,1,655.5536
inactivity,0,654.7646
insulin sensitivity,1,653.6944
value,1,653.4216
costs,1,652.7105
link between obesity,0,652.5338
intervals,1,651.8277
categories,1,651.3956
relationships,1,651.1866
work,1,650.8132
non-alcoholic fatty liver,1,649.891
site,1,649.748
95ci,0,649.4969
hfd,0,648.6024
behavior,1,648.5998
cigarette smoking,1,648.2034
excess body,0,647.5476
significant difference,0,647.5443
snps,1,647.3258
gastrectomy,1,645.6022
estrogens,1,645.5598
formation,1,645.3158
risk of colon,0,645.3066
health study,0,644.7056
energy expenditure,1,644.3267
iii,1,644.2526
fruit,1,643.9779
food intake,1,643.8016
susceptibility,1,643.0827
barrett,1,642.7671
diabetes and cancer,0,642.023
gut microbiota,0,640.2872
lymph nodes,1,639.24
programs,1,638.9677
significant association,0,638.6984
risk of colon cancer,0,638.2292
cirrhosis,1,637.9684
therapies,1,637.8151
steatosis,1,637.5331
gastric bypass,1,637.3636
er,1,636.6613
lesions,1,636.2659
proportion,1,635.816
decrease,1,635.7307
adipocyte,1,634.7321
bowel,1,634.5874
length,1,634.4277
pattern,1,633.8209
comparison,1,633.5963
metabolic diseases,1,633.2077
subtypes,1,633.0129
logistic regression models,0,632.1303
fiber,1,631.8199
risk factors for breast,0,631.3742
phosphorylation,1,630.9797
investigation into cancer and nutrition,0,629.8732
molecules,1,629.2946
problem,1,629.0876
profile,1,628.8342
skin,1,628.3668
mammography,1,627.0638
obesity and prostate cancer,0,625.7743
u,1,625.4652
variety,1,625.4415
kidney disease,1,625.3313
cardiovascular risk factors,0,624.8842
obesity,1,624.7054
breast cancer incidence,0,624.4023
region,1,624.3644
esophagus,1,624.1892
community,1,623.4739
concentration,1,621.7933
white women,0,621.6792
responses,1,620.9864
effects of obesity,0,620.3604
positive association,0,620.0159
secretion,1,619.6131
migration,1,619.2346
pregnancy,1,618.662
patients with breast,0,617.8502
national health,0,617.4886
adulthood,1,617.0155
practice,1,616.7714
lack,1,616.0846
primary care,1,614.8544
tumorigenesis,1,614.715
il-6,1,613.7257
growth factors,1,612.5042
times,1,611.8276
logistic regression analysis,0,611.8256
hazards,1,611.7345
americans,1,611.2817
hepatitis,1,611.0197
etiology,1,610.8052
blood loss,1,609.9502
5 kg m,0,609.8115
obese subjects,0,609.2755
association between body,0,608.8015
cancer and obesity,0,608.0254
prevention and treatment,0,607.9083
overweight obesity,0,607.4962
hyperinsulinemia,1,607.1064
efficacy,1,607.0517
lines,1,606.4322
basis,1,606.4301
endometrium,1,606.0347
contrast,1,605.7076
survivors of childhood,0,604.5673
ages,0,602.373
investigation into cancer,0,602.3251
venous thromboembolism,1,601.8172
polymorphism,1,601.2046
hormone replacement therapy,1,601.1835
macrophages,1,601.0709
fto,1,600.3192
percentage,1,600.2444
dietary intake,1,599.9225
prostate-specific antigen,1,599.2539
height and weight,1,599.1699
relative risks,1,599.0491
consequences,1,598.629
animals,1,598.1539
visceral adipose tissue,1,597.3141
estradiol,1,597.314
tamoxifen,1,597.1697
serum levels,0,596.0064
gallbladder,1,594.9715
persons,1,593.4575
y,1,593.3888
result,1,592.8796
sites,1,592.8406
cancer treatment,1,591.8501
prospective studies,1,591.4198
heart failure,1,591.2098
alcohol intake,1,591.1553
androgen,1,590.6556
estimates,1,589.4133
onset,1,589.3266
risk of prostate cancer,0,589.239
epidemic,1,588.5918
breast cancers,1,587.8029
association between body mass index,0,587.1429
treatments,1,586.8041
factors for breast,0,584.8006
environmental factors,1,584.6489
birth,1,584.1329
other risk factors,0,583.5053
environment,1,583.0847
purpose,1,583.0038
issues,0,582.5295
nodes,1,582.4237
prospective study,1,582.2859
quartile,1,582.119
renal cell cancer,1,582.0163
procedures,1,581.3679
serum leptin,1,581.3634
procedure,1,580.2837
breast cancer cell,1,579.6425
polyps,1,579.344
decades,0,579.1693
atherosclerosis,1,578.9069
cardiovascular disease and cancer,0,578.3395
obesity and type,0,576.7897
median follow-up,0,576.5242
interest,1,575.6894
tea,1,575.5115
attention,1,575.346
synthesis,1,574.6563
nonalcoholic fatty liver disease,1,574.3843
condition,1,571.1872
age at menarche,1,570.6288
imaging,1,570.5306
cancer cell lines,0,569.9096
week,1,568.7993
dietary factors,1,568.4633
dna methylation,1,568.1393
african americans,1,567.7725
replacement,1,567.0736
health benefits,1,566.9914
thrombosis,1,566.724
wound,1,566.5299
enzymes,1,565.9807
novel,1,565.8225
occurrence,1,565.0425
risk for breast cancer,0,564.3933
epidemiologic studies,1,564.0378
center,1,563.5555
invasive breast cancer,1,563.424
cancer recurrence,1,562.9949
lower risk,0,562.8109
obesity and prostate,0,562.6253
genotype,1,562.4169
cell cycle,1,562.4081
myocardial infarction,1,559.2836
association between body mass,0,559.0799
radiotherapy,1,559.0692
angiogenesis,1,558.9445
report,1,558.8891
order,1,558.7908
patients with cancer,0,558.3304
cox regression,0,558.0097
cause of death,1,557.765
polycystic ovary syndrome,1,557.4523
society,1,557.3745
variants,1,557.1812
medicine,1,557.1376
significance,1,557.0429
resistin,1,556.8687
cycle,1,556.7328
nutritional status,1,556.0541
adverse effects,1,555.3374
phenotype,1,555.2243
development and progression,0,554.9703
brain,1,554.9628
tumor size,1,554.9384
diet-induced obesity,0,553.3424
measurements,1,552.9076
health status,1,552.0714
nash,0,551.7155
assay,1,551.4361
calcium,1,551.2588
predictor,1,551.0638
prospective investigation,0,550.974
majority,1,548.4077
support,1,546.7595
cancer survival,0,546.5737
services,1,545.8445
cancer in women,0,545.2551
cancer incidence and mortality,0,544.8566
breast reconstruction,1,543.2992
identification,1,543.2781
objective,1,542.8988
confidence interval 1,0,542.2439
nonalcoholic fatty liver,1,542.2426
ethnicity,1,541.8615
gleason,0,541.8334
ii diabetes,0,541.3093
history of cancer,0,541.151
adenomas,1,540.8038
crp,1,540.5755
case-control studies,1,539.6171
ct,1,538.4697
modification,1,538.3198
toxicity,1,536.9585
beneficial effects,0,536.0568
objective of this study,0,536.0219
damage,1,535.5802
menarche,1,534.7989
risk of prostate,0,534.4667
squamous cell,1,534.0376
complication,1,533.9544
human diseases,0,533.5208
disease risk,1,533.3716
specific antigen,1,532.5417
green tea,1,532.2351
major risk,0,532.0101
cross-sectional study,1,531.8826
independent risk factor,0,531.5573
intakes,0,531.2249
articles,0,530.7061
poor prognosis,1,530.0336
animal models,1,529.8804
disparities,0,529.8739
biology,1,529.118
prostate specific,1,528.8937
content,1,528.7113
high blood pressure,1,528.5033
body mass index 30,0,528.4695
ability,1,527.9008
tests,1,527.7794
causes of death,1,527.7108
abnormalities,1,527.5404
hysterectomy,1,527.3318
chronic obstructive pulmonary disease,1,527.2978
obesity-associated,0,526.9835
new,1,526.6511
health outcomes,1,526.3339
history of breast cancer,0,526.0388
terms,0,525.8598
lipids,1,525.7403
treatment of obesity,0,525.4428
enzyme,1,525.2326
records,1,525.0549
cox proportional hazards models,1,524.9011
cell cancer,0,524.5821
smoking status,1,524.0105
inverse association,1,523.818
melanoma,1,522.5143
infections,1,521.9709
life expectancy,1,521.4283
leukemia,1,521.3143
hormone therapy,1,521.2099
blood glucose,1,520.9341
fat intake,1,520.7004
ms,1,520.3932
risk factor for breast cancer,0,520.1535
cancer,1,520.1099
conclusion,1,519.9284
restriction,1,518.3154
pa,1,518.1364
tumor cells,1,517.7929
mutations,1,517.4261
body fat distribution,1,517.2783
min,1,516.8573
risk for breast,0,516.601
population-based case-control study,0,516.4711
design,1,516.3593
authors,1,515.0715
end,1,514.8331
allele,1,513.7784
expenditure,1,513.0001
exposures,1,512.4237
antioxidant,1,512.1528
disease-free survival,1,511.985
high blood,0,511.0449
hormone replacement,1,510.7526
fruit and vegetable,0,510.6574
aspects,0,509.7533
variation,1,509.7158
proportional hazards models,1,509.476
dyslipidemia,1,509.3164
strategy,1,509.0324
30 kg m2,0,508.0278
epithelial cells,1,507.8833
normal bmi,0,507.4989
reflux,1,507.3039
stomach,1,506.4137
early detection,1,505.8656
side effects,1,505.1638
modifiable risk,0,504.803
human health,0,504.1909
obstructive pulmonary disease,1,503.2778
thromboembolism,1,502.2083
nutrients,1,501.7288
health problems,0,501.5774
registry,1,501.4497
adt,1,501.2353
aa,1,501.1316
risk factor for the development,0,500.7728
involvement,1,500.6536
protective effect,0,499.9985
paper,1,499.513
waist-to-hip ratio,1,498.8493
efforts,0,498.0958
fruits and vegetables,0,497.5859
january,0,497.4409
osteoporosis,1,497.4229
history of breast,0,496.5911
coronary artery disease,1,496.5365
reports,1,496.3351
habits,1,496.148
modifiable risk factors,0,495.6437
invasive breast,0,495.4685
fat area,0,494.8385
prostate volume,1,494.7052
vat,1,494.5878
squamous cell carcinoma,1,494.3371
cancer and nutrition,1,493.6219
stem cells,1,493.5202
cancer surgery,1,492.4093
organ,1,491.5195
recent years,0,491.0808
median age,0,490.9627
scores,1,488.2563
endometrial hyperplasia,1,487.7619
bypass,1,487.6868
inflammatory bowel disease,1,487.5428
marker,1,486.6896
whites,1,486.666
mammary tumor,1,486.5732
risk factor for breast,0,486.4791
anthropometric measures,1,486.3486
medical records,1,486.2843
significant risk,0,486.2843
previous studies,0,485.8318
adolescents,1,485.7905
barrett's oesophagus,1,485.7079
prognostic factors,0,485.6634
fatty acid synthase,1,485.5096
search,1,485.5047
tumours,1,484.9537
sarcopenia,1,484.2441
lipoprotein,1,484.1628
chronic conditions,0,483.352
cachexia,1,482.9199
context,1,482.4503
stem,1,481.3101
health behaviors,1,480.4635
black women,0,479.9864
impact of body mass index,0,479.5496
chronic kidney disease,1,479.3433
factor for breast cancer,0,478.8084
awareness,1,478.5198
advances,0,478.1891
improvement,1,478.181
ors,1,477.8333
ptp1b,1,477.4487
ethnic groups,1,477.3314
series,1,477.169
risk factors such,0,476.5644
pathology,1,476.5115
childhood cancer survivors,0,476.492
forms of cancer,0,476.1218
axis,1,476.0816
weight management,1,475.8853
access,1,475.5465
component,1,475.1011
linear regression,1,474.9684
cancer registry,1,474.8652
species,1,474.4783
cancer deaths,0,474.4339
patients with endometrial cancer,0,474.163
university,1,473.9069
cigarette,1,473.2753
insulin levels,1,473.204
gleason score,1,473.1979
stay,0,472.3711
development of obesity,0,472.3701
oncology,1,471.8267
medical conditions,0,471.2793
promotion,1,471.156
mm,1,470.7949
factor for the development,0,470.4009
national cancer,0,470.2495
serum adiponectin,0,469.5618
higher levels,0,469.4769
obesity and insulin resistance,0,469.3307
japan,1,469.1147
length of stay,1,467.416
target of rapamycin,0,466.3508
african american women,0,466.3124
colorectal cancer screening,1,466.0501
inflammatory bowel,0,465.544
pulmonary disease,1,465.3888
systematic review and meta-analysis,0,465.0018
impact of body,0,464.9409
leptin and adiponectin,0,464.7048
family history of breast cancer,1,464.5028
androgen deprivation therapy,1,463.995
reference,1,463.475
pancreatic cancer risk,0,463.3094
alzheimer's disease,1,462.7882
neoplasia,1,462.5267
mg dl,1,462.2818
lipoprotein cholesterol,1,462.2618
body mass index 30 kg,0,462.0771
tumor progression,1,461.9541
metastases,1,461.6545
high levels,0,461.6487
disorder,1,460.9137
stages,1,460.1145
tumor necrosis,1,460.0824
host,1,459.801
glucose tolerance,1,459.6122
pancreas,1,459.3988
profiles,0,459.0239
smoking and obesity,0,458.5231
proportional hazards regression,0,458.5189
mass index 30,0,458.4055
mrna expression,1,457.9035
metabolites,1,457.8703
sd,1,457.7639
phase,1,457.2675
reflux disease,0,457.266
safety,1,457.2516
rp,1,456.6043
focus,1,456.1683
polycystic ovary,1,455.9181
colon cancer risk,0,455.8758
injury,1,455.4626
cohorts,1,455.4384
age at diagnosis,1,455.3236
necrosis,1,455.2408
ghrelin,1,454.8031
lymph node dissection,1,454.425
human breast,0,454.4231
alcohol use,1,453.9737
eac,1,453.7234
reactive oxygen species,1,453.5248
high body mass index,0,452.6802
maintenance,1,452.4142
pylori,0,452.2762
transcription factors,1,451.4902
field,1,450.8471
vegetable,1,450.7596
american women,0,450.5048
family history of breast,0,450.4609
breast cancer cases,0,450.2987
colonoscopy,1,449.8947
hospital stay,1,449.8332
forms,1,449.524
promoter,1,449.1045
